Unnamed: 0,word,meaning
282,envisage,"To imagine or expect something in the future, especially something good."
283,nimble,Quick and exact either in movement or thoughts.
284,waver,"To lose strength, determination, or purpose, especially temporarily."
285,wobble,To (cause something to) shake or move from side to side in a way that shows poor balance.
286,boil down to,To constitute the equivalent of in summary.
287,excerpt,"A short part taken from a speech, book, film, etc.."
288,stall,To halt the motion or progress of; bring to a standstill.
289,commodity,"A substance or product that can be traded, bought, or sold."
290,dissipate,To (cause to) gradually disappear or waste.
291,rein,"A long, thin piece of material, especially leather, that helps you to control and direct a horse."
292,equity,"The value of a company, divided into many equal parts owned by the shareholders, or one of the equal parts into which the value of a company is divided."
293,tenacious,"Holding tightly onto something, or keeping an opinion in a determined way."
294,eventuality,Something unpleasant or unexpected that might happen or exist in the future.
295,on one's toes,aware and energetic
296,more than you bargained for,"something different from what you expected, especially something worse"
297,vivid,having or producing very clear and detailed images in the mind
298,makeshift,"Temporary and of low quality, but used because of a sudden need."
299,straggle,To move or spread untidily and in small numbers or amounts.
300,quandary,A state of not being able to decide what to do about a situation in which you are involved.
301,doggone,Used to express anger.
302,usher,"To show someone where they should go, or to make someone go where you want them to go."
303,bemused,Slightly confused.
304,roll with the punches,to be able to deal well with difficulties or criticism
305,saunter,"To walk in a slow and relaxed way, often in no particular direction."
306,whim,"A sudden wish or idea, especially one that cannot be reasonably explained."
307,traipse,"To walk from one place to another, often feeling tired or bored."
308,glance,To give a quick short look.
309,decide against,to not choose someone or something
310,bursary,"An amount of money given to a person by an organization, such as a university, to pay for them to study."
311,inference,A guess that you make or an opinion that you form based on the information that you have.
312,affiliation,"A connection with a political party or religion, or with a larger organization."
313,startling,Surprising and sometimes worrying.
314,intertwine,"To twist or be twisted together, or to be connected so as to be difficult to separate."
315,frailty,Weakness and lack of health or strength.
316,take something with a pinch of salt,to listen to a story or an explanation with considerable doubt.
317,cranial,Of the skull.
318,sole,Being one only; single.
319,compliance,"The act of obeying an order, rule, or request."
320,corroborate,"To add proof to an account, statement, idea, etc. with new information."
321,amend,"to make changes to a document, law, agreement etc, especially in order to improve it"
322,disseminate,"To spread or give out something, especially news, information, ideas, etc., to a lot of people."
323,contiguous,"Next to or touching another, usually similar, thing."
324,pitfall,A likely mistake or problem in a situation.
325,bifurcate,"(of roads, rivers, branches, etc.) to divide into two parts."
326,confound,"To confuse and very much surprise someone, so that they are unable to explain or deal with a situation."
327,regime,"a government that controls a country, especially in a strict or unfair way"
328,extant,Describes something very old that is still existing.
329,clutch,"To take or try to take hold of something tightly, usually in fear, worry, or pain."
330,unfathomable,Impossible to understand.
331,complacent,Feeling so satisfied with your own abilities or situation that you feel you do not need to try any harder.
332,errant,"Behaving wrongly in some way, especially by leaving home."
333,retrograde,"Returning to older and worse conditions, methods, ideas, etc.."
